fullcategory,category,category_full,Gene.Name,Gene.Full.Name,A..ocellaris.Gene.ID,gene
digestion (digestive enzyme: protease),digestion,digestion,tmprss15,Transmembrane Serine Protease 15/Enteropeptidase,111575727,XP_035809077.1
digestion (digestive enzyme: protease),digestion,digestion,xpnpep1,X-Prolyl Aminopeptidase 1,111569924,XP_023128139.1
digestion (digestive enzyme: protease),digestion,digestion,xpnpep1,X-Prolyl Aminopeptidase 1,111569924,XP_023128141.1
digestion (digestive enzyme: protease),digestion,digestion,xpnpep2,X-Prolyl Aminopeptidase 2,111582105,XP_023146367.2
digestion (digestive enzyme: protease),digestion,digestion,xpnpep2,X-Prolyl Aminopeptidase 2,111582105,XP_023146368.2
digestion (digestive enzyme: protease),digestion,digestion,xpnpep3,X-Prolyl Aminopeptidase 3,111570326,XP_023128797.1
gastrointestinal function,gastrointestinal,gastrointestinal,ace2,Angiotensin Converting Enzyme 2,111567340,XP_023124156.1
gastrointestinal function,gastrointestinal,gastrointestinal,ace2,Angiotensin Converting Enzyme 2,111567340,XP_054861058.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc1a1,Solute Carrier Family 1 Member 1,111584482,XP_023149404.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc2a2,Solute Carrier Family 2 Member 2,111569440,XP_023127333.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc2a5,Solute Carrier Family 2 Member 5,111570047,XP_023128346.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc2a5,Solute Carrier Family 2 Member 5,111570053,XP_035805126.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc2a5,Solute Carrier Family 2 Member 5,111570053,XP_023128350.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc5a1,Solute Carrier Family 5 Member 1,111583680,XP_023148644.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc6a18,Solute Carrier Family 6 Member 18,111576121,XP_023137418.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc6a19a,Solute Carrier Family 6 Member 19a,111576127,XP_023137429.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc6a19b,Solute Carrier Family 6 Member 19b,111576118,XP_023137412.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc6a19b,Solute Carrier Family 6 Member 19b,111576118,XP_035809417.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a7,Solute Carrier Family 7 Member 7,111567536,XP_023124491.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a7,Solute Carrier Family 7 Member 7,111567536,XP_035803273.2
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a8a,Solute Carrier Family 7 Member 8a,111567477,XP_023124401.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a8b,Solute Carrier Family 7 Member 8b,111584861,XP_023149956.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a8b,Solute Carrier Family 7 Member 8b,111584861,XP_054870427.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a9,Solute Carrier Family 7 Member 9,111583473,XP_023148370.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc7a9,Solute Carrier Family 7 Member 9,111583473,XP_023148371.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc15a1a,Solute Carrier Family 15 Member 1a,111581911,XP_023146071.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc15a1b,Solute Carrier Family 15 Member 1b,111565862,XP_023121914.
gastrointestinal function,gastrointestinal,gastrointestinal,slc15a2,Solute Carrier Family 15 Member 2,111571430,XP_023130336.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc15a4,Solute Carrier Family 15 Member 4,111582332,XP_023146722.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc43a2b,Solute Carrier Family 43 Member 2b,111582642,XP_035813658.1
gastrointestinal function,gastrointestinal,gastrointestinal,slc43a2b,Solute Carrier Family 43 Member 2b,111582642,XP_023147211.1
hormone signaling (corticoids),corticoids,corticoids,CRHa,Corticotropin Releasing Hormone a,129349927,XP_054870783.1
hormone signaling (corticoids),corticoids,corticoids,CRHb,Corticotropin Releasing Hormone b,111572469,XP_023131914.1
hormone signaling (corticoids),corticoids,corticoids,CRHbpa,Corticotropin Releasing Hormone Binding Protein a,111575142,XP_023135851.2
hormone signaling (corticoids),corticoids,corticoids,CRHbpb,Corticotropin Releasing Hormone Binding Protein b,111564686,XP_035801418.2
hormone signaling (corticoids),corticoids,corticoids,CRHr1a,Corticotropin Releasing Hormone Receptor 1a,111568171,XP_023125446.2
hormone signaling (corticoids),corticoids,corticoids,CRHr1b,Corticotropin Releasing Hormone Receptor 1b,111584347,XP_023149252.1
hormone signaling (corticoids),corticoids,corticoids,CRHr1b,Corticotropin Releasing Hormone Receptor 1b,111584347,XP_054860658.1
hormone signaling (corticoids),corticoids,corticoids,CRHr2,Corticotropin Releasing Hormone Receptor 2,111568629,XP_023126124.1
hormone signaling (corticoids),corticoids,corticoids,cyp11a2,Cytochrome P450 Family 11 Subfamily A Member 2,111587899,XP_023153795.2
hormone signaling (corticoids),corticoids,corticoids,cyp11b2,Cytochrome P450 Family 11 Subfamily B Member 2 (also known as cyp11c1 in teleosts),111575932,XP_054869619.1
hormone signaling (corticoids),corticoids,corticoids,cyp17a1,Cytochrome P450 Family 17 Subfamily A Member 1,111563640,XP_023118572.1
hormone signaling (corticoids),corticoids,corticoids,cyp17a1,Cytochrome P450 Family 17 Subfamily A Member 1,111563640,XP_035800618.1
hormone signaling (corticoids),corticoids,corticoids,cyp21a2,Cytochrome P450 Family 21 Subfamily A Member 2,111588846,XP_023155196.2
hormone signaling (corticoids),corticoids,corticoids,fdx1,Ferredoxin 1,111575471,XP_023136386.1
hormone signaling (corticoids),corticoids,corticoids,fdx2,Ferredoxin 2,111570168,XP_023128547.2
hormone signaling (corticoids),corticoids,corticoids,fdxr,Ferredoxin Reductase,111570558,XP_023129168.1
hormone signaling (corticoids),corticoids,corticoids,gr1,Nuclear Receptor Subfamily 3 Group C Member 1a (glucocorticoid receptor),111565142,XP_023120919.1
hormone signaling (corticoids),corticoids,corticoids,gr1,Nuclear Receptor Subfamily 3 Group C Member 1a (glucocorticoid receptor),111565142,XP_035801798.1
hormone signaling (corticoids),corticoids,corticoids,gr2,Nuclear Receptor Subfamily 3 Group C Member 1b (glucocorticoid receptor),111574492,XP_054873147.1
hormone signaling (corticoids),corticoids,corticoids,gr2,Nuclear Receptor Subfamily 3 Group C Member 1b (glucocorticoid receptor),111574492,XP_054873148.1
hormone signaling (corticoids),corticoids,corticoids,hsd11b1,Hydroxysteroid 11-Beta Dehydrogenase 1,111578536,XP_023141149.1
hormone signaling (corticoids),corticoids,corticoids,hsd11b2,Hydroxysteroid 11-Beta Dehydrogenase 2,111567954,XP_023125135.1
hormone signaling (corticoids),corticoids,corticoids,hsd3b2,"Hydroxy-Delta-5-Steroid Dehydrogenase, 3 Beta- And Steroid Delta-Isomerase 2",111570570,XP_023129182.1
hormone signaling (corticoids),corticoids,corticoids,mc2r,Melanocortin 2 Receptor (Adrenocorticotropic Hormone Receptor),111589063,XP_023155573.1
hormone signaling (corticoids),corticoids,corticoids,mr,Nuclear Receptor Subfamily 3 Group C Member 2 (mineralocorticoid receptor),111563254,XP_023118011.2
hormone signaling (corticoids),corticoids,corticoids,pomcaa,Proopiomelanocortin aa,111577563,XP_023139672.1
hormone signaling (corticoids),corticoids,corticoids,pomcab,Proopiomelanocortin ab,111580118,XP_023143476.1
hormone signaling (corticoids),corticoids,corticoids,pomcab,Proopiomelanocortin ab,111580118,XP_023143477.1
hormone signaling (corticoids),corticoids,corticoids,pomcb,Proopiomelanocortin b,111584656,XP_023149616.2
hormone signaling (corticoids),corticoids,corticoids,star,Steroidogenic Acute Regulatory Protein,111575042,XP_035808571.2
hormone signaling (corticoids),corticoids,corticoids,star,Steroidogenic Acute Regulatory Protein,111575042,XP_023135711.2
hormone signaling (corticoids),corticoids,corticoids,star2,Steroidogenic Acute Regulatory Protein 2,111568176,XP_023125453.1
hormone signaling (corticoids),corticoids,corticoids,stard5,StAR Related Lipid Transfer Domain Containing 5,111564514,XP_023119906.1
hormone signaling (corticoids),corticoids,corticoids,ucn3,Urocortin 3,111571458,XP_023130376.1
hormone signaling (thyroid hormones),thyroid,thyroid,dio1,Iodothyronine Deiodinase 1,111583913,XP_023148944.1
hormone signaling (thyroid hormones),thyroid,thyroid,dio2,Iodothyronine Deiodinase 2,111563633,XP_035800614.1
hormone signaling (thyroid hormones),thyroid,thyroid,dio2,Iodothyronine Deiodinase 2,111563633,XP_023118556.1
hormone signaling (thyroid hormones),thyroid,thyroid,dio3a,Iodothyronine Deiodinase 3a,111586185,XP_023151649.2
hormone signaling (thyroid hormones),thyroid,thyroid,dio3b,Iodothyronine Deiodinase 3b,111573799,XP_023133890.1
hormone signaling (thyroid hormones),thyroid,thyroid,duox,Dual Oxidase,111577711,XP_023139890.2
hormone signaling (thyroid hormones),thyroid,thyroid,duox,Dual Oxidase,111577711,XP_054865211.1
hormone signaling (thyroid hormones),thyroid,thyroid,hhex,Hematopoietically Expressed Homeobox,111565180,XP_023120970.2
hormone signaling (thyroid hormones),thyroid,thyroid,klf9,KLF Transcription Factor 9,111570790,XP_023129503.1
hormone signaling (thyroid hormones),thyroid,thyroid,med1,Mediator Complex Subunit 1,111566720,XP_023123236.2
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa1,Nuclear Receptor Coactivator 1,111565463,XP_054871894.1
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa1,Nuclear Receptor Coactivator 1,111565463,XP_035801983.1
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa2,Nuclear Receptor Coactivator 2,111587689,XP_023153529.2
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa2,Nuclear Receptor Coactivator 2,111587689,XP_035798586.2
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa3,Nuclear Receptor Coactivator 3,111579940,XP_023143246.1
hormone signaling (thyroid hormones),thyroid,thyroid,ncoa3,Nuclear Receptor Coactivator 3,111579940,XP_035811807.1
hormone signaling (thyroid hormones),thyroid,thyroid,ncor1,Nuclear Receptor Corepressor 1,111575203,XP_023135944.2
hormone signaling (thyroid hormones),thyroid,thyroid,ncor1,Nuclear Receptor Corepressor 1,111575203,XP_023135945.2
hormone signaling (thyroid hormones),thyroid,thyroid,ncor2,Nuclear Receptor Corepressor 2,111581903,XP_023146059.1
hormone signaling (thyroid hormones),thyroid,thyroid,ncor2,Nuclear Receptor Corepressor 2,111581903,XP_035813154.1
hormone signaling (thyroid hormones),thyroid,thyroid,nkx2-1,NK2 Homeobox 1,118470383,XP_054862157.1
hormone signaling (thyroid hormones),thyroid,thyroid,nkx2-1,NK2 Homeobox 1,118470383,XP_054862158.1
hormone signaling (thyroid hormones),thyroid,thyroid,pax2,Paired Box 2,111573897,XP_054874374.1
hormone signaling (thyroid hormones),thyroid,thyroid,pax2,Paired Box 2,111573897,XP_054874375.1
hormone signaling (thyroid hormones),thyroid,thyroid,pax8,Paired Box 8,111567309,XP_023124087.2
hormone signaling (thyroid hormones),thyroid,thyroid,pax8,Paired Box 8,111567309,XP_023124088.2
hormone signaling (thyroid hormones),thyroid,thyroid,sis,Sodium Iodide Symporter NIS (also known as slc5a5),111576557,XP_023138063.2
hormone signaling (thyroid hormones),thyroid,thyroid,slc16a10,Solute Carrier Family 16 Member 10 (also known as mct10),111585831,XP_023151212.2
hormone signaling (thyroid hormones),thyroid,thyroid,slc16a2,Solute Carrier Family 16 Member 2 (also known as mct8),111571366,XP_054872561.1
hormone signaling (thyroid hormones),thyroid,thyroid,slc2a1a,Solute Carrier Family 2 Member 1a,111576582,XP_023138089.2
hormone signaling (thyroid hormones),thyroid,thyroid,slc2a1b,Solute Carrier Family 2 Member 1b,111580035,XP_023143350.2
hormone signaling (thyroid hormones),thyroid,thyroid,slco1c1,Solute Carrier Organic Anion Transporter Family Member 1C1,111580672,XP_023144287.1
hormone signaling (thyroid hormones),thyroid,thyroid,tg,Thyroglobulin,111588109,XP_023154033.2
hormone signaling (thyroid hormones),thyroid,thyroid,tg,Thyroglobulin,111588109,XP_023144287.1
hormone signaling (thyroid hormones),thyroid,thyroid,tpo,Thyroid Peroxidase,111562581,XP_023116956.2
hormone signaling (thyroid hormones),thyroid,thyroid,TRaa,Thyroid Hormone Receptor Alpha a,111566418,XP_023122767.1
hormone signaling (thyroid hormones),thyroid,thyroid,TRaa,Thyroid Hormone Receptor Alpha a,111566418,XP_035802584.1
hormone signaling (thyroid hormones),thyroid,thyroid,TRab,Thyroid Hormone Receptor Alpha b,111575976,XP_023137208.1
hormone signaling (thyroid hormones),thyroid,thyroid,TRab,Thyroid Hormone Receptor Alpha b,111575976,XP_054860841.1
hormone signaling (thyroid hormones),thyroid,thyroid,TRb,Thyroid Hormone Receptor Beta,111573399,XP_035807430.2
hormone signaling (thyroid hormones),thyroid,thyroid,TRb,Thyroid Hormone Receptor Beta,111573399,XP_035807431.2
hormone signaling (thyroid hormones),thyroid,thyroid,TRH,Thyrotropin Releasing Hormone,111570405,XP_023128920.2
hormone signaling (thyroid hormones),thyroid,thyroid,TRHra,Thyrotropin Releasing Hormone Receptor a,111584834,XP_023149903.1
hormone signaling (thyroid hormones),thyroid,thyroid,TRHrb,Thyrotropin Releasing Hormone Receptor b,111568983,XP_023126661.2
hormone signaling (thyroid hormones),thyroid,thyroid,TSHb,Thyroid Stimulating Hormone Subunit Beta,111568011,XP_023125213.2
hormone signaling (thyroid hormones),thyroid,thyroid,TSHr,Thyroid Stimulating Hormone Receptor,111569120,XP_035804482.2
hormone signaling (thyroid hormones),thyroid,thyroid,ttr,Transthyretin,111569632,XP_023127646.1
hormone signaling (thyroid hormones),thyroid,thyroid,ttr,Transthyretin,111569632,XP_054870007.1
metabolism (beta-oxidation),betaoxi,betaoxi,acaa1,Acetyl-CoA Acyltransferase 1,111563089,XP_054866079.1
metabolism (beta-oxidation),betaoxi,betaoxi,acaa1,Acetyl-CoA Acyltransferase 1,111563089,XP_023117770.1
metabolism (beta-oxidation),betaoxi,betaoxi,acaa2,Acetyl-CoA Acyltransferase 2,111577286,XP_023139232.1
metabolism (beta-oxidation),betaoxi,betaoxi,acad11,Acyl-CoA Dehydrogenase Family Member 11,111581396,XP_023145309.2
metabolism (beta-oxidation),betaoxi,betaoxi,acad11,Acyl-CoA Dehydrogenase Family Member 11,111581396,XP_023145310.2
metabolism (beta-oxidation),betaoxi,betaoxi,acad8,Acyl-CoA Dehydrogenase Family Member 8,111565118,XP_023120891.2
metabolism (beta-oxidation),betaoxi,betaoxi,acad9,Acyl-CoA Dehydrogenase Family Member 9,111573833,XP_023133942.2
metabolism (beta-oxidation),betaoxi,betaoxi,acadl,Acyl-CoA Dehydrogenase Long Chain,111571820,XP_023130943.2
metabolism (beta-oxidation),betaoxi,betaoxi,acadl,Acyl-CoA Dehydrogenase Long Chain,111571820,XP_054864651.1
metabolism (beta-oxidation),betaoxi,betaoxi,acadm,Acyl-CoA Dehydrogenase Medium Chain,111587374,XP_054870458.1
metabolism (beta-oxidation),betaoxi,betaoxi,acads,Acyl-CoA Dehydrogenase Short Chain,111566122,XP_054875351.1
metabolism (beta-oxidation),betaoxi,betaoxi,acads,Acyl-CoA Dehydrogenase Short Chain,111566122,XP_023122307.2
metabolism (beta-oxidation),betaoxi,betaoxi,acadsb,Acyl-CoA Dehydrogenase Short/Branched Chain,111582229,XP_023146576.1
metabolism (beta-oxidation),betaoxi,betaoxi,acadvl,Acyl-CoA Dehydrogenase Very Long Chain,111575585,XP_023136575.2
metabolism (beta-oxidation),betaoxi,betaoxi,acadvl,Acyl-CoA Dehydrogenase Very Long Chain,111575585,XP_054863461.1
metabolism (beta-oxidation),betaoxi,betaoxi,cpt1a,Carnitine Palmitoyltransferase 1A,111578081,XP_023140442.2
metabolism (beta-oxidation),betaoxi,betaoxi,cpt1a,Carnitine Palmitoyltransferase 1A,111578081,XP_023140444.2
metabolism (beta-oxidation),betaoxi,betaoxi,cpt1b,Carnitine Palmitoyltransferase 1B,111583226,XP_023147975.2
metabolism (beta-oxidation),betaoxi,betaoxi,cpt1c,Carnitine Palmitoyltransferase 1C,111566371,XP_023122686.2
metabolism (beta-oxidation),betaoxi,betaoxi,cpt2,Carnitine Palmitoyltransferase 2,111576145,XP_023137457.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,aacs,Acetoacetyl-CoA Synthetase,111564800,XP_023120362.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,acat2,Acetyl-CoA Acetyltransferase-2,111574222,XP_023134465.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,cyp51a1,Cytochrome P450 Family 51 Subfamily A Member 1,111565075,XP_023120813.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,dhcr24,24-Dehydrocholesterol Reductase,111581125,XP_023144917.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,dhcr7,7-Dehydrocholesterol Reductase,111567200,XP_023123937.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,ebp,"EBP Cholesterol Delta-Isomerase (also known as -Beta-Hydroxysteroid-Delta(8),Delta(7)-Isomerase)",111580686,XP_023144304.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,fdft1,Farnesyl-Diphosphate Farnesyltransferase 1 (also known as Squalene Synthase),111569937,XP_023128167.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,fdft1,Farnesyl-Diphosphate Farnesyltransferase 1 (also known as Squalene Synthase),111569937,XP_023128168.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,fdps,Farnesyl Diphosphate Synthase,111571978,XP_054869970.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,hmgcra,3-Hydroxy-3-Methylglutaryl-CoA Reductase A,111579328,XP_023142348.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,hmgcrb,3-Hydroxy-3-Methylglutaryl-CoA Reductase B,111575348,XP_023136166.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,hmgcs1,3-Hydroxy-3-Methylglutaryl-CoA Synthase 1,111570356,XP_023128837.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,hsd17b7,Hydroxysteroid 17-Beta Dehydrogenase 7,111563582,XP_023118471.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,hsd17b7,Hydroxysteroid 17-Beta Dehydrogenase 7,111563582,XP_054870456.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,idi1,Isopentenyl-Diphosphate Delta Isomerase 1,111565278,XP_023121094.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,lbr,Lamin B Receptor (also known as Sterol C14-Reductase),111583488,XP_035814213.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,lbr,Lamin B Receptor (also known as Sterol C14-Reductase),111583488,XP_035814214.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,lss,Lanosterol Synthase,111582860,XP_023147488.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,msmo1,Methylsterol Monooxygenase 1 (also known as Sterol C4-Methyl Oxidase),111574709,XP_023135201.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,mvd,Mevalonate Diphosphate Decarboxylase,111577166,XP_023139063.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,mvk,Mevalonate Kinase,111568310,XP_023125668.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,mvk,Mevalonate Kinase,111568310,XP_054867504.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,nsdhl,NAD(P) Dependent Steroid Dehydrogenase-Like,111565582,XP_023121501.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,nsdhl,NAD(P) Dependent Steroid Dehydrogenase-Like,111565582,XP_023121502.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,pmvk,Phosphomevalonate Kinase,111569478,XP_023127387.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,scda,Stearoyl-CoA Desaturase A,111568124,XP_023125385.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,scdb,Stearoyl-CoA Desaturase B,111573906,XP_023134036.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,scdb,Stearoyl-CoA Desaturase B,111573906,XP_023134037.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,sqle,Squalene Epoxidase,111562938,XP_023117515.2
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,tm7sf2,Transmembrane 7 Superfamily Member 2 (also known as Sterol C14-Reductase),111572615,XP_023132124.1
metabolism (cholesterol biosynthesis),cholesterol,cholesterol,tm7sf2,Transmembrane 7 Superfamily Member 2 (also known as Sterol C14-Reductase),111572615,XP_023132125.1
metabolism (fatty acid synthesis),fatty,fatty,abca1a,ATP Binding Cassette Subfamily A Member 1a,111575002,XP_023135658.2
metabolism (fatty acid synthesis),fatty,fatty,abca1a,ATP Binding Cassette Subfamily A Member 1a,111575002,XP_023135657.2
metabolism (fatty acid synthesis),fatty,fatty,abca1b,ATP Binding Cassette Subfamily A Member 1b,111570931,XP_054872763.1
metabolism (fatty acid synthesis),fatty,fatty,abca1b,ATP Binding Cassette Subfamily A Member 1b,111570931,XP_054872764.1
metabolism (fatty acid synthesis),fatty,fatty,acaca,Acetyl-CoA Carboxylase Alpha,111571760,XP_054873125.1
metabolism (fatty acid synthesis),fatty,fatty,acaca,Acetyl-CoA Carboxylase Alpha,111571760,XP_054873126.1
metabolism (fatty acid synthesis),fatty,fatty,acacb,Acetyl-CoA Carboxylase Beta,111568287,XP_023125636.2
metabolism (fatty acid synthesis),fatty,fatty,acacb,Acetyl-CoA Carboxylase Beta,111568287,XP_023125637.2
metabolism (fatty acid synthesis),fatty,fatty,aclya,ATP Citrate Lyase a,111584364,XP_054861156.1
metabolism (fatty acid synthesis),fatty,fatty,aclyb,ATP Citrate Lyase b,111566731,XP_023123253.1
metabolism (fatty acid synthesis),fatty,fatty,aclyb,ATP Citrate Lyase b,111566731,XP_023123254.1
metabolism (fatty acid synthesis),fatty,fatty,cyp7a1,Cytochrome P450 Family 7 Subfamily A Member 1,111576985,XP_023138778.1
metabolism (fatty acid synthesis),fatty,fatty,degs1,"Delta 4-Desaturase, Sphingolipid 1",111563648,XP_023118584.1
metabolism (fatty acid synthesis),fatty,fatty,elovl1a,ELOVL Fatty Acid Elongase 1a,111578796,XP_023141525.1
metabolism (fatty acid synthesis),fatty,fatty,elovl1b,ELOVL Fatty Acid Elongase 1b,111581924,XP_023146095.1
metabolism (fatty acid synthesis),fatty,fatty,elovl1b,ELOVL Fatty Acid Elongase 1b,111581924,XP_023146097.1
metabolism (fatty acid synthesis),fatty,fatty,elovl4a,ELOVL Fatty Acid Elongase 4a,111589079,XP_023155561.1
metabolism (fatty acid synthesis),fatty,fatty,elovl4b,ELOVL Fatty Acid Elongase 4b,111567654,XP_023124684.1
metabolism (fatty acid synthesis),fatty,fatty,elovl5,ELOVL Fatty Acid Elongase 5,111566479,XP_023122855.2
metabolism (fatty acid synthesis),fatty,fatty,elovl5,ELOVL Fatty Acid Elongase 5,111566479,XP_054874793.1
metabolism (fatty acid synthesis),fatty,fatty,elovl6,ELOVL Fatty Acid Elongase 6,111588379,XP_023154520.1
metabolism (fatty acid synthesis),fatty,fatty,elovl6l,ELOVL Fatty Acid Elongase 6l,111579360,XP_023142385.2
metabolism (fatty acid synthesis),fatty,fatty,elovl7a,ELOVL Fatty Acid Elongase 7a,111588628,XP_023154859.1
metabolism (fatty acid synthesis),fatty,fatty,elovl8a,ELOVL Fatty Acid Elongase 8a,111570221,XP_054870827.1
metabolism (fatty acid synthesis),fatty,fatty,elovl8a,ELOVL Fatty Acid Elongase 8a,111570221,XP_035805263.2
metabolism (fatty acid synthesis),fatty,fatty,elovl8b,ELOVL Fatty Acid Elongase 8b,111583908,XP_035814501.1
metabolism (fatty acid synthesis),fatty,fatty,elovl8b,ELOVL Fatty Acid Elongase 8b,111583908,XP_023148936.1
metabolism (fatty acid synthesis),fatty,fatty,fads2,Fatty Acid Desaturase 2,111582148,XP_023146448.2
metabolism (fatty acid synthesis),fatty,fatty,fads2,Fatty Acid Desaturase 2,111582148,XP_023146449.2
metabolism (fatty acid synthesis),fatty,fatty,fads6,Fatty Acid Desaturase 6,111585258,XP_054860306.1
metabolism (fatty acid synthesis),fatty,fatty,fasn,Fatty Acid Synthase,111564925,XP_023120573.2
metabolism (fatty acid synthesis),fatty,fatty,gpam,"Glycerol-3-Phosphate Acyltransferase, Mitochondrial",111566729,XP_023123250.1
metabolism (fatty acid synthesis),fatty,fatty,gpat2,"Glycerol-3-Phosphate Acyltransferase 2, Mitochondrial",111564712,XP_023120235.2
metabolism (fatty acid synthesis),fatty,fatty,gpat2,"Glycerol-3-Phosphate Acyltransferase 2, Mitochondrial",111564712,XP_023120236.2
metabolism (fatty acid synthesis),fatty,fatty,gpat3,Glycerol-3-Phosphate Acyltransferase 3,111571149,XP_054875401.1
metabolism (fatty acid synthesis),fatty,fatty,gpat3,Glycerol-3-Phosphate Acyltransferase 3,111571149,XP_054875402.1
metabolism (fatty acid synthesis),fatty,fatty,gpat4,Glycerol-3-Phosphate Acyltransferase 4,111567683,XP_023124722.2
metabolism (fatty acid synthesis),fatty,fatty,hmgcra,3-Hydroxy-3-Methylglutaryl-CoA Reductase A,111579328,XP_023142348.2
metabolism (fatty acid synthesis),fatty,fatty,hmgcrb,3-Hydroxy-3-Methylglutaryl-CoA Reductase B,111575348,XP_023136166.2
metabolism (fatty acid synthesis),fatty,fatty,lxra,Liver X Receptor Alpha (also known as nr1h3),111571031,XP_023129850.1
metabolism (fatty acid synthesis),fatty,fatty,lxra,Liver X Receptor Alpha (also known as nr1h3),111571031,XP_023129851.1
metabolism (fatty acid synthesis),fatty,fatty,me1,Malic Enzyme 1,111575794,XP_023136896.1
metabolism (fatty acid synthesis),fatty,fatty,me2,Malic Enzyme 2,111572191,XP_023131522.2
metabolism (fatty acid synthesis),fatty,fatty,me3,Malic Enzyme 3,111570941,XP_023129727.1
metabolism (fatty acid synthesis),fatty,fatty,me3,Malic Enzyme 3,111570941,XP_023129728.1
metabolism (fatty acid synthesis),fatty,fatty,mlxipl,MLX Interacting Protein Like,111564926,XP_023120571.2
metabolism (fatty acid synthesis),fatty,fatty,mlxipl,MLX Interacting Protein Like,111564926,XP_023120572.2
metabolism (fatty acid synthesis),fatty,fatty,pparaa,Peroxisome Proliferator Activated Receptor Alpha a,111573197,XP_023132999.2
metabolism (fatty acid synthesis),fatty,fatty,pparaa,Peroxisome Proliferator Activated Receptor Alpha a,111573197,P_023133001.2
metabolism (fatty acid synthesis),fatty,fatty,pparab,Peroxisome Proliferator Activated Receptor Alpha b,111577779,XP_023139982.1
metabolism (fatty acid synthesis),fatty,fatty,pparab,Peroxisome Proliferator Activated Receptor Alpha b,111577779,XP_023139983.1
metabolism (fatty acid synthesis),fatty,fatty,ppardb,Peroxisome Proliferator Activated Receptor Delta b (also known as pparb),111566976,XP_023123560.2
metabolism (fatty acid synthesis),fatty,fatty,pparg,Peroxisome Proliferator Activated Receptor Gamma,111564578,XP_023119999.1
metabolism (fatty acid synthesis),fatty,fatty,ppargc1a,PPARG Coactivator 1 Alpha,111573584,XP_035807565.2
metabolism (fatty acid synthesis),fatty,fatty,ppargc1a,PPARG Coactivator 1 Alpha,111573584,XP_035807566.2
metabolism (fatty acid synthesis),fatty,fatty,ppargc1b,PPARG Coactivator 1 Beta,111581099,XP_054872287.1
metabolism (fatty acid synthesis),fatty,fatty,ppargc1b,PPARG Coactivator 1 Beta,111581099,XP_023144881.1
metabolism (fatty acid synthesis),fatty,fatty,scda,Stearoyl-CoA Desaturase A,111568124,XP_023125385.1
